unidade_ac,unid
INSTITUTO DE CIÊNCIAS BIOLÓGICAS,ICB
PRO-REITORIA DE RECURSOS HUMANOS,PRH
DEPARTAMENTO DESENVOLVIMENTO DE RECURSOS HUMANOS,DRH
DEPARTAMENTO DE ADMINISTRAÇÃO DE PESSOAL,DAP
FACULDADE DE FARMÁCIA,FAR
INSTITUTO DE CIÊNCIAS EXATAS,ICX
COLÉGIO TÉCNICO,COL
ESCOLA DE BELAS ARTES,EBA
BIBLIOTECA UNIVERSITARIA,BIU
ESCOLA DE ENGENHARIA,ENG
FACULDADE CIÊNCIAS ECONÔMICAS,FCE
HOSPITAL DAS CLINICAS,HCL
PRÓ-REITORIA DE CULTURA,DAC
COORDENADORIA DE ASSUNTOS COMUNITARIOS,CAC
CENTRO PEDAGÓGICO UFMG,CEP
DIRETORIA DE ARQUIVOS INSTITUCIONAIS,DIA
PRO-REITORIA DE EXTENSAO,PEX
DEPARTAMENTO DE ATENÇÃO À SAÚDE DO TRABALHOR,DAT
PRO-REITORIA DE ASSUNTOS ESTUDANTIS,PAE
ESCOLA DE CIÊNCIA DA INFORMAÇÃO,ECI
FACULDADE DE ODONTOLOGIA,FAO
MUSEU DE HISTORIA NATURAL,MHN
FACULDADE DE FILOSOFIA E CIÊNCIAS HUMANAS,FAF
DIRETORIA DE RELAÇÕES INTERNACIONAIS,DRI
FACULDADE DE LETRAS,FAL
INSTITUTO DE GEOCIÊNCIAS,IGC
FACULDADE DE DIREITO,DIR
CENTRO DE COMUNICAÇÃO,CDC
CENTRO ESPORTIVO UNIVERSITÁRIO,CEU
FACULDADE DE EDUCAÇÃO,FAE
ESCOLA DE VETERINÁRIA,VET
INSTITUTO DE CIÊNCIAS AGRÁRIAS,ICA
TEATRO UNIVERSITÁRIO,TUN
PRO-REITORIA DE ADMINISTRACAO,PRA
CENTRO DE MICROSCOPIA,CMI
FACULDADE DE MEDICINA,MED
ESCOLA DE ENFERMAGEM,ENF
"ESCOLA DE EDUCAÇÃO FÍSICA, FISIOTERAPIA E TERAPIA OCUPACIONAL",EEF
PRO-REITORIA DE GRADUACAO,PGR
CENTRO DE APOIO A EDUCACAO A DISTANCIA,EAD
PRO-REITORIA DE PESQUISA,PPQ
ESCOLA DE ARQUITETURA,ARQ
DEPARTAMENTO DE LOGÍSTICA DE SUPRIMENTOS E DE SERVIÇOS OPERACIONAIS,DLO
INSTITUTO DE ESTUDOS AVANÇADOS TRANSDISCIPLINARES,IET
INSTITUTO DE CIÊNCIAS BIOLÓGICAS,ICB
PRO-REITORIA DE RECURSOS HUMANOS,PRH
DEPARTAMENTO DESENVOLVIMENTO DE RECURSOS HUMANOS,DRH
DEPARTAMENTO DE ADMINISTRAÇÃO DE PESSOAL,DAP
FACULDADE DE FARMÁCIA,FAR
INSTITUTO DE CIÊNCIAS EXATAS,ICX
COLÉGIO TÉCNICO,COL
ESCOLA DE BELAS ARTES,EBA
BIBLIOTECA UNIVERSITARIA,BIU
ESCOLA DE ENGENHARIA,ENG
FACULDADE CIÊNCIAS ECONÔMICAS,FCE
HOSPITAL DAS CLINICAS,HCL
PRÓ-REITORIA DE CULTURA,DAC
COORDENADORIA DE ASSUNTOS COMUNITARIOS,CAC
CENTRO PEDAGÓGICO UFMG,CEP
DIRETORIA DE ARQUIVOS INSTITUCIONAIS,DIA
PRO-REITORIA DE EXTENSAO,PEX
DEPARTAMENTO DE ATENÇÃO À SAÚDE DO TRABALHOR,DAT
PRO-REITORIA DE ASSUNTOS ESTUDANTIS,PAE
ESCOLA DE CIÊNCIA DA INFORMAÇÃO,ECI
FACULDADE DE ODONTOLOGIA,FAO
MUSEU DE HISTORIA NATURAL,MHN
FACULDADE DE FILOSOFIA E CIÊNCIAS HUMANAS,FAF
DIRETORIA DE RELAÇÕES INTERNACIONAIS,DRI
FACULDADE DE LETRAS,FAL
INSTITUTO DE GEOCIÊNCIAS,IGC
FACULDADE DE DIREITO,DIR
CENTRO DE COMUNICAÇÃO,CDC
CENTRO ESPORTIVO UNIVERSITÁRIO,CEU
FACULDADE DE EDUCAÇÃO,FAE
ESCOLA DE VETERINÁRIA,VET
INSTITUTO DE CIÊNCIAS AGRÁRIAS,ICA
TEATRO UNIVERSITÁRIO,TUN
PRO-REITORIA DE ADMINISTRACAO,PRA
CENTRO DE MICROSCOPIA,CMI
FACULDADE DE MEDICINA,MED
ESCOLA DE ENFERMAGEM,ENF
"ESCOLA DE EDUCAÇÃO FÍSICA, FISIOTERAPIA E TERAPIA OCUPACIONAL",EEF
PRO-REITORIA DE GRADUACAO,PGR
CENTRO DE APOIO A EDUCACAO A DISTANCIA,EAD
PRO-REITORIA DE PESQUISA,PPQ
ESCOLA DE ARQUITETURA,ARQ
DEPARTAMENTO DE LOGÍSTICA DE SUPRIMENTOS E DE SERVIÇOS OPERACIONAIS,DLO
INSTITUTO DE ESTUDOS AVANÇADOS TRANSDISCIPLINARES,IET
COMISSAO PERMANENTE DO PESSOAL DOCENTE,CPD
ESCOLA DE MÚSICA,MUS
REITORIA,GAB
PRO-REITORIA DE PLANEJAMENTO,PPL
NÚ­CLEO DE ACES­SI­BI­LI­DADE E IN­CLUSÃO,NAI
NÚCLEO DE ACESSIBILIDADE E INCLUSÃO,NAI
ESCOLA DE EDUCAÇÃO BÁSICA E PROFISSIONAL,EBP
DIRETORIA DE TECNOLOGIA DA INFORMAÇÃO,DTI
AUDITORIA-GERAL,AUD
EDITORA UFMG,EDI
DIRETORIA DE COOPERAÇÃO INSTITUCIONAL,COP
